laptop_ID,Company,TypeName,Product,Inches,DisplayType,Touchscreen,IPS Panel,ResolutionWidth,ResolutionHeight,CpuBrand,CpuProduct,CpuClockSpeed_GHz,Ram_GB,PrimaryMemory,SecondaryMemory,PrimaryMemorySize,SecondaryMemorySize,MemorySize_GB,Gpu_Brand,Gpu_Product,OpSys,Weight_kg,Price_euros
1,Apple,Ultrabook,MacBook Pro,13.3,Retina Display,None,Present,2560,1600,Intel,Core i5,2.3,8,SSD,None,128.0,0.0,128.0,Intel,Iris Plus Graphics 640,macOS,1.37,1339.69
2,Apple,Ultrabook,Macbook Air,13.3,,,,1440,900,Intel,Core i5,1.8,8,FlashStorage,None,128.0,0.0,128.0,Intel,HD Graphics 6000,macOS,1.34,898.94
3,HP,Notebook,250 G6,15.6,Full HD,None,None,1920,1080,Intel,Core i5 7200U,2.5,8,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 620,No OS,1.86,575.0
4,Apple,Ultrabook,MacBook Pro,15.4,Retina Display,None,Present,2880,1800,Intel,Core i7,2.7,16,SSD,None,512.0,0.0,512.0,AMD,Radeon Pro 455,macOS,1.83,2537.45
5,Apple,Ultrabook,MacBook Pro,13.3,Retina Display,None,Present,2560,1600,Intel,Core i5,3.1,8,SSD,None,256.0,0.0,256.0,Intel,Iris Plus Graphics 650,macOS,1.37,1803.6
6,Acer,Notebook,Aspire 3,15.6,,,,1366,768,AMD,A9-Series 9420,3.0,4,HDD,None,500.0,0.0,500.0,AMD,Radeon R5,Windows 10,2.1,400.0
7,Apple,Ultrabook,MacBook Pro,15.4,Retina Display,None,Present,2880,1800,Intel,Core i7,2.2,16,FlashStorage,None,256.0,0.0,256.0,Intel,Iris Pro Graphics,Mac OS X,2.04,2139.97
8,Apple,Ultrabook,Macbook Air,13.3,,,,1440,900,Intel,Core i5,1.8,8,FlashStorage,None,256.0,0.0,256.0,Intel,HD Graphics 6000,macOS,1.34,1158.7
9,Asus,Ultrabook,ZenBook UX430UN,14.0,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,16,SSD,None,512.0,0.0,512.0,Nvidia,GeForce MX150,Windows 10,1.3,1495.0
10,Acer,Ultrabook,Swift 3,14.0,Full HD,None,Present,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,None,256.0,0.0,256.0,Intel,UHD Graphics 620,Windows 10,1.6,770.0
11,HP,Notebook,250 G6,15.6,,,,1366,768,Intel,Core i5 7200U,2.5,4,HDD,None,500.0,0.0,500.0,Intel,HD Graphics 620,No OS,1.86,393.9
12,HP,Notebook,250 G6,15.6,Full HD,None,None,1920,1080,Intel,Core i3 6006U,2.0,4,HDD,None,500.0,0.0,500.0,Intel,HD Graphics 520,No OS,1.86,344.99
13,Apple,Ultrabook,MacBook Pro,15.4,Retina Display,None,Present,2880,1800,Intel,Core i7,2.8,16,SSD,None,256.0,0.0,256.0,AMD,Radeon Pro 555,macOS,1.83,2439.97
