laptop_ID,Company,TypeName,Inches,DisplayType,ResolutionWidth,ResolutionHeight,CpuBrand,CpuType,CpuClockSpeed_GHz,Ram,Ram_GB,Memory,PrimaryMemory,SecondaryMemory,MemorySize_GB,Gpu,Gpu_Brand,OpSys,Weight_kg,Price_euros
1,Apple,Ultrabook,13.3,IPS Panel Retina Display,2560,1600,Intel,Core i5,2.3,8GB,8,128GB SSD,SSD,None,128.0,Intel Iris Plus Graphics 640,Intel,macOS,1.37,1339.69
2,Apple,Ultrabook,13.3,,1440,900,Intel,Core i5,1.8,8GB,8,128GB Flash Storage,FlashStorage,None,128.0,Intel HD Graphics 6000,Intel,macOS,1.34,898.94
3,HP,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,No OS,1.86,575.0
4,Apple,Ultrabook,15.4,IPS Panel Retina Display,2880,1800,Intel,Core i7,2.7,16GB,16,512GB SSD,SSD,None,512.0,AMD Radeon Pro 455,AMD,macOS,1.83,2537.45
5,Apple,Ultrabook,13.3,IPS Panel Retina Display,2560,1600,Intel,Core i5,3.1,8GB,8,256GB SSD,SSD,None,256.0,Intel Iris Plus Graphics 650,Intel,macOS,1.37,1803.6
6,Acer,Notebook,15.6,,1366,768,AMD,A9,3.0,4GB,4,500GB HDD,HDD,None,500.0,AMD Radeon R5,AMD,Windows 10,2.1,400.0
7,Apple,Ultrabook,15.4,IPS Panel Retina Display,2880,1800,Intel,Core i7,2.2,16GB,16,256GB Flash Storage,FlashStorage,None,256.0,Intel Iris Pro Graphics,Intel,Mac OS X,2.04,2139.97
8,Apple,Ultrabook,13.3,,1440,900,Intel,Core i5,1.8,8GB,8,256GB Flash Storage,FlashStorage,None,256.0,Intel HD Graphics 6000,Intel,macOS,1.34,1158.7
9,Asus,Ultrabook,14.0,Full HD,1920,1080,Intel,Core i7,1.8,16GB,16,512GB SSD,SSD,None,512.0,Nvidia GeForce MX150,Nvidia,Windows 10,1.3,1495.0
10,Acer,Ultrabook,14.0,IPS Panel Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.6,770.0
11,HP,Notebook,15.6,,1366,768,Intel,Core i5,2.5,4GB,4,500GB HDD,HDD,None,500.0,Intel HD Graphics 620,Intel,No OS,1.86,393.9
12,HP,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,500GB HDD,HDD,None,500.0,Intel HD Graphics 520,Intel,No OS,1.86,344.99
13,Apple,Ultrabook,15.4,IPS Panel Retina Display,2880,1800,Intel,Core i7,2.8,16GB,16,256GB SSD,SSD,None,256.0,AMD Radeon Pro 555,AMD,macOS,1.83,2439.97
14,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,256GB SSD,SSD,None,256.0,AMD Radeon R5 M430,AMD,Windows 10,2.2,498.9
15,Apple,Ultrabook,12.0,IPS Panel Retina Display,2304,1440,Intel,Core M,1.2,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 615,Intel,macOS,0.92,1262.4
16,Apple,Ultrabook,13.3,IPS Panel Retina Display,2560,1600,Intel,Core i5,2.3,8GB,8,256GB SSD,SSD,None,256.0,Intel Iris Plus Graphics 640,Intel,macOS,1.37,1518.55
17,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,AMD Radeon R5 M430,AMD,Windows 10,2.2,745.0
18,Apple,Ultrabook,15.4,IPS Panel Retina Display,2880,1800,Intel,Core i7,2.9,16GB,16,512GB SSD,SSD,None,512.0,AMD Radeon Pro 560,AMD,macOS,1.83,2858.0
19,Lenovo,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.4,8GB,8,1TB HDD,HDD,None,1000.0,Nvidia GeForce 940MX,Nvidia,No OS,2.2,499.0
20,Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen,1920,1080,Intel,Core i5,1.6,8GB,8,128GB SSD,SSD,None,128.0,Intel UHD Graphics 620,Intel,Windows 10,1.22,979.0
21,Asus,Netbook,11.6,,1366,768,Intel,Atom,1.44,2GB,2,32GB Flash Storage,FlashStorage,None,32.0,Intel HD Graphics 400,Intel,Windows 10,0.98,191.9
22,Lenovo,Gaming,15.6,IPS Panel Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,2.5,999.0
23,HP,Notebook,15.6,,1366,768,AMD,E-Series,1.5,4GB,4,500GB HDD,HDD,None,500.0,AMD Radeon R2,AMD,No OS,1.86,258.0
24,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.62,819.0
25,HP,Ultrabook,15.6,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.91,659.0
26,Dell,Notebook,15.6,,1366,768,Intel,Core i3,2.0,4GB,4,1TB HDD,HDD,None,1000.0,Intel HD Graphics 520,Intel,Windows 10,2.3,418.64
27,Apple,Ultrabook,13.3,,1440,900,Intel,Core i5,1.6,8GB,8,128GB Flash Storage,FlashStorage,None,128.0,Intel HD Graphics 6000,Intel,Mac OS X,1.35,1099.0
28,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,AMD Radeon 530,AMD,Windows 10,2.2,800.0
29,Dell,Ultrabook,15.6,Full HD,1920,1080,Intel,Core i7,1.9,8GB,8,256GB SSD +  256GB SSD,SSD,SSD,512.0,Intel UHD Graphics 620,Intel,Windows 10,1.88,1298.0
30,HP,Notebook,17.3,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,1TB HDD,HDD,None,1000.0,Nvidia GeForce 930MX,Nvidia,Windows 10,2.5,896.0
31,Chuwi,Notebook,15.6,Full HD,1920,1080,Intel,Atom,1.44,4GB,4,64GB Flash Storage,FlashStorage,None,64.0,Intel HD Graphics,Intel,Windows 10,1.89,244.99
32,Asus,Notebook,14.0,,1366,768,AMD,E-Series,1.5,2GB,2,32GB Flash Storage,FlashStorage,None,32.0,AMD Radeon R2,AMD,Windows 10,1.65,199.0
33,HP,Notebook,17.3,Full HD,1920,1080,AMD,A6,2.5,4GB,4,500GB HDD,HDD,None,500.0,AMD Radeon 530,AMD,Windows 10,2.71,439.0
34,Dell,Ultrabook,13.3,Touchscreen / Quad HD+,3200,1800,Intel,Core i7,1.8,16GB,16,512GB SSD,SSD,None,512.0,Intel UHD Graphics 620,Intel,Windows 10,1.2,1869.0
35,Apple,Ultrabook,13.3,,1440,900,Intel,Core i5,1.6,8GB,8,256GB Flash Storage,FlashStorage,None,256.0,Intel HD Graphics 6000,Intel,Mac OS X,1.35,998.0
36,Lenovo,Notebook,14.0,,1366,768,Intel,Celeron,1.1,4GB,4,64GB Flash Storage,FlashStorage,None,64.0,Intel HD Graphics 500,Intel,Windows 10,1.44,249.0
37,Acer,Notebook,15.6,,1366,768,Intel,Core i3,2.7,4GB,4,1TB HDD,HDD,None,1000.0,Intel HD Graphics 620,Intel,Linux,2.1,367.0
38,Dell,Notebook,17.3,IPS Panel Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,AMD Radeon 530,AMD,Windows 10,2.8,979.0
39,HP,Notebook,15.6,,1366,768,Intel,Core i5,2.5,4GB,4,1TB HDD,HDD,None,1000.0,Intel HD Graphics 620,Intel,Windows 10,1.86,488.69
40,HP,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce 930MX ,Nvidia,Windows 10,2.1,879.0
41,Asus,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,1TB HDD,HDD,None,1000.0,Intel HD Graphics 620,Intel,Linux,2.0,389.0
42,Dell,Gaming,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,2.8,16GB,16,256GB SSD +  1TB HDD,SSD,HDD,1256.0,Nvidia GeForce GTX 1060,Nvidia,Windows 10,2.65,1499.0
43,Asus,Notebook,15.6,,1366,768,Intel,Core i5,2.5,8GB,8,1TB HDD,HDD,None,1000.0,Nvidia GeForce 940MX,Nvidia,Linux,2.3,522.99
44,Acer,Notebook,15.6,IPS Panel Full HD,1920,1080,Intel,Core i5,1.6,4GB,4,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,2.2,682.0
45,Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen,1920,1080,Intel,Core i5,1.6,12GB,12,1TB HDD,HDD,None,1000.0,Nvidia GeForce 150MX,Nvidia,Windows 10,2.77,999.0
46,Apple,Ultrabook,13.3,IPS Panel Retina Display,2560,1600,Intel,Core i5,2.0,8GB,8,256GB SSD,SSD,None,256.0,Intel Iris Graphics 540,Intel,macOS,1.37,1419.0
47,Lenovo,Notebook,15.6,,1366,768,Intel,Core i3,2.0,4GB,4,128GB SSD,SSD,None,128.0,Intel HD Graphics 520,Intel,No OS,2.2,369.0
48,Asus,Gaming,17.3,Full HD,1920,1080,AMD,Ryzen,3.0,8GB,8,256GB SSD +  1TB HDD,SSD,HDD,1256.0,AMD Radeon RX 580,AMD,Windows 10,3.2,1299.0
49,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,4GB,4,256GB SSD,SSD,None,256.0,AMD Radeon R5 M430,AMD,Windows 10,2.3,639.0
50,Asus,Notebook,17.3,,1366,768,Intel,Pentium,1.1,4GB,4,1TB HDD,HDD,None,1000.0,Nvidia GeForce 920MX,Nvidia,Windows 10,2.8,466.0
51,Lenovo,2 in 1 Convertible,10.1,IPS Panel Touchscreen,1920,1200,Intel,Atom,1.44,4GB,4,64GB Flash Storage,FlashStorage,None,64.0,Intel HD Graphics 400,Intel,Android,0.69,319.0
